Date,Open,High,Low,Close,Adj Close,Volume,Return
1999/11/1,5518.740234,5549.779785,5496.77002,5524.919922,5524.919922,12728800,
1999/11/2,5524.419922,5551.819824,5474.120117,5546.950195,5546.950195,28336500,0.003987438
1999/11/3,5532.060059,5592.089844,5501.859863,5560.870117,5560.870117,40391100,0.002509473
1999/11/4,5568.919922,5650.819824,5561.279785,5635.620117,5635.620117,42606000,0.013442141
1999/11/5,5639.879883,5680.669922,5597.569824,5658.100098,5658.100098,35562700,0.00398891
1999/11/8,5628.740234,5681.02002,5613.950195,5647.939941,5647.939941,23301600,-0.001795684
1999/11/9,5654.330078,5755.25,5654.330078,5694.72998,5694.72998,32825400,0.008284443
1999/11/10,5685.5,5742.419922,5661.680176,5742.419922,5742.419922,32550800,0.008374399
1999/11/11,5714.47998,5803.839844,5714.47998,5802.359863,5802.359863,36837500,0.010438098
1999/11/12,5789.5,5824.299805,5750.649902,5791.049805,5791.049805,35220000,-0.001949217
1999/11/15,5792.450195,5861,5792.450195,5859.290039,5859.290039,34556800,0.011783742
1999/11/16,5849.560059,5914.200195,5809.370117,5909.52002,5909.52002,40761900,0.008572708
1999/11/17,5912.399902,5950.799805,5850.660156,5870.169922,5870.169922,38294700,-0.006658764
1999/11/18,5870.669922,5956.410156,5856.330078,5950.049805,5950.049805,39627200,0.013607763
1999/11/19,5955.759766,6032.669922,5927.779785,5955.970215,5955.970215,60432700,0.000995019
1999/11/22,5951.700195,5998.459961,5812.209961,5819.890137,5819.890137,37488700,-0.022847676
1999/11/23,5822.950195,5869.680176,5794.140137,5814.740234,5814.740234,35207400,-0.00088488
1999/11/24,5815.089844,5852.450195,5765.359863,5818.72998,5818.72998,31588100,0.000686143
1999/11/25,5812.810059,5967.609863,5810.209961,5961.450195,5961.450195,28967500,0.024527726
1999/11/26,5964.970215,6023.009766,5943.370117,5958.069824,5958.069824,29680300,-0.000567038
1999/11/29,5953.779785,5978.640137,5881.52002,5888.879883,5888.879883,29018400,-0.011612811
1999/11/30,5875.490234,5896.72998,5808.950195,5896.040039,5896.040039,33689400,0.001215877
1999/12/1,5891.27002,5960.589844,5836.72998,5933.839844,5933.839844,37817900,0.00641105
1999/12/2,5933,5995.009766,5912.169922,5937.200195,5937.200195,40572100,0.000566303
1999/12/3,5942.089844,6127.120117,5942.089844,6119.169922,6119.169922,44046600,0.030649081
1999/12/6,6126.720215,6188.680176,6095.879883,6142.189941,6142.189941,40902000,0.003761951
1999/12/7,6141.689941,6188.490234,6121.72998,6158.77002,6158.77002,36091900,0.002699376
